,Station,Date,Transpiration,Rain,Evaporation,Max Temp,Min Temp,Max Hum,Min Hum,Av Wind,Solar Rad
0,PERTH AIRPORT,2009-01-01,11.2,0.0,11.6,37.2,18.8,65,20,6.1,34.01
1,PERTH AIRPORT,2009-01-02,10.2,0.0,12.8,36.1,21.9,70,25,5.31,34.25
2,PERTH AIRPORT,2009-01-03,9.4,0.0,11.8,34.4,20.3,79,29,5.45,34.11
3,PERTH AIRPORT,2009-01-04,10.5,0.0,11.2,36.5,18.5,62,20,5.25,34.05
4,PERTH AIRPORT,2009-01-05,11.9,0.0,11.4,37.2,21.8,63,17,6.77,34.18
5,PERTH AIRPORT,2009-01-06,10.1,0.0,12.0,36.4,19.7,73,26,5.42,33.82
6,PERTH AIRPORT,2009-01-07,10.7,0.0,12.0,36.3,18.9,63,21,5.83,33.85
7,PERTH AIRPORT,2009-01-08,10.5,0.0,10.8,37.2,20.3,60,24,5.19,33.96
8,PERTH AIRPORT,2009-01-09,10.3,0.0,12.6,37.1,19.1,67,27,5.28,34.4
9,PERTH AIRPORT,2009-01-10,10.5,0.0,11.2,35.7,20.5,58,20,5.23,34.29
10,PERTH AIRPORT,2009-01-11,11.3,0.0,12.0,39.1,21.2,60,12,4.84,34.25
11,PERTH AIRPORT,2009-01-12,6.8,0.0,11.4,28.4,13.5,91,43,6.58,29.12
12,PERTH AIRPORT,2009-01-13,7.0,0.0,9.4,26.9,10.3,93,27,4.88,32.17
13,PERTH AIRPORT,2009-01-14,8.7,0.0,9.6,31.7,14.6,71,23,5.34,31.29
14,PERTH AIRPORT,2009-01-15,13.6,0.0,10.6,39.8,19.0,56,13,7.64,33.39
15,PERTH AIRPORT,2009-01-16,13.4,0.0,13.8,43.0,22.5,80,9,6.51,33.38
16,PERTH AIRPORT,2009-01-17,7.5,0.0,13.2,32.6,17.9,82,31,4.93,24.91
17,PERTH AIRPORT,2009-01-18,7.8,0.0,8.6,33.5,21.9,55,28,5.1,18.75
18,PERTH AIRPORT,2009-01-19,8.0,12.6,8.0,30.0,15.7,90,34,6.83,31.88
19,PERTH AIRPORT,2009-01-20,8.7,0.0,8.0,30.1,15.5,76,24,5.76,33.27
20,PERTH AIRPORT,2009-01-21,7.1,0.0,10.0,27.3,15.4,84,41,5.94,32.51
21,PERTH AIRPORT,2009-01-22,6.6,0.0,8.6,28.7,18.7,90,48,5.66,29.24
22,PERTH AIRPORT,2009-01-23,7.1,0.0,9.0,28.9,20.0,82,46,5.59,30.96
23,PERTH AIRPORT,2009-01-24,7.7,0.0,7.6,31.0,13.1,97,23,3.99,33.12
24,PERTH AIRPORT,2009-01-25,10.2,0.0,9.6,38.6,17.0,81,18,4.78,32.74
25,PERTH AIRPORT,2009-01-26,7.3,0.0,10.0,30.8,17.5,93,40,4.63,32.05
26,PERTH AIRPORT,2009-01-27,8.0,0.0,8.8,34.5,17.1,84,34,5.24,26.57
27,PERTH AIRPORT,2009-01-28,6.1,0.0,10.4,31.2,21.7,80,49,5.18,20.77
28,PERTH AIRPORT,2009-01-29,4.5,0.0,7.2,25.6,19.7,77,53,5.38,13.39
29,PERTH AIRPORT,2009-01-30,5.7,0.0,4.0,32.1,18.9,80,43,3.5,20.46
30,PERTH AIRPORT,2009-01-31,8.0,0.0,5.6,35.1,21.6,72,39,5.52,24.76
31,PERTH AIRPORT,2009-02-01, ,0.4,6.4,37.4,23.3, , , ,30.14
32,PERTH AIRPORT,2009-02-02,9.4,0.0,10.6,39.1,21.0,93,20,4.36,30.87
33,PERTH AIRPORT,2009-02-03,7.5,0.0,10.2,32.7,18.6,96,32,4.11,31.03
34,PERTH AIRPORT,2009-02-04,9.2,0.0,8.0,33.3,20.4,75,29,6.51,30.67
35,PERTH AIRPORT,2009-02-05,9.4,0.0,11.2,33.2,17.3,64,25,6.30,30.18
36,PERTH AIRPORT,2009-02-06,7.6,0.0,10.6,27.0,15.2,74,35,7.87,29.68
37,PERTH AIRPORT,2009-02-07,6.8,0.0,9.0,27.3,9.4,89,29,5.05,30.61
38,PERTH AIRPORT,2009-02-08,10.4,0.0,9.4,32.9,15.4,55,14,6.74,31.25
39,PERTH AIRPORT,2009-02-09,12.1,0.0,12.8,34.6,17.6,57,11,8.58,31.23
40,PERTH AIRPORT,2009-02-10,12.2,0.0,12.6,36.8,19.7,55,12,7.73,30.18
41,PERTH AIRPORT,2009-02-11,11.3,0.0,10.4,39.2,23.0,39,9,5.13,30.47
42,PERTH AIRPORT,2009-02-12,11.9,0.0,11.2,39.5,22.3,53,8,6.61,24.28
43,PERTH AIRPORT,2009-02-13,6.4,0.0,11.8,28.1,21.7,74,43,6.97,19.16
44,PERTH AIRPORT,2009-02-14,5.5,0.2,7.4,29.1,18.8,75,33,5.80,8.31
45,PERTH AIRPORT,2009-02-15,6.9,0.0,3.6,32.4,15.9,94,28,3.54,28.49
46,PERTH AIRPORT,2009-02-16,6.3,0.0,6.8,27.5,18.2,93,39,6.01,26.00
47,PERTH AIRPORT,2009-02-17, ,0.0,9.0,31.9,16.0,74,25,5.57, 
48,PERTH AIRPORT,2009-02-18, ,0.0,8.0,32.0,17.4,64,19,6.39, 
49,PERTH AIRPORT,2009-02-19,9.7,0.0,11.6,33.8,16.7,60,20,6.26,29.55
50,PERTH AIRPORT,2009-02-20,11.5,0.0,11.0,36.4,18.4,62,17,7.80,29.47
51,PERTH AIRPORT,2009-02-21,11.1,0.0,14.2,39.9,21.0,50,15,6.26,22.06
52,PERTH AIRPORT,2009-02-22,8.3,0.0,11.8,31.7,20.0,69,30,6.10,27.53
53,PERTH AIRPORT,2009-02-23,8.8,0.0,7.4,34.3,17.2,63,26,5.66,26.67
54,PERTH AIRPORT,2009-02-24,4.7,0.0,7.2,25.4,18.4,89,52,4.24,21.44
55,PERTH AIRPORT,2009-02-25,3.7,0.0,6.0,23.5,12.9,93,52,4.70,14.56
56,PERTH AIRPORT,2009-02-26,4.8,4.8,3.8,23.9,8.3,99,38,4.06,24.25
57,PERTH AIRPORT,2009-02-27,7.5,0.0,6.4,30.2,13.7,77,24,5.29,27.03
58,PERTH AIRPORT,2009-02-28,9.0,0.0,6.6,36.1,15.4,83,21,5.94,24.30
59,PERTH AIRPORT,2009-03-01,6.6,1.6,8.2,32.9,22.4,84,44,6.06,20.53
60,PERTH AIRPORT,2009-03-02,6.5,0.0,7.4,24.7,18.4,86,34,9.01,23.73
61,PERTH AIRPORT,2009-03-03,6.4,0.0,10.4,26.2,6.1,88,20,4.76,27.22
62,PERTH AIRPORT,2009-03-04,9.3,0.0,6.6,30.4,13.6,57,16,7.17,27.96
63,PERTH AIRPORT,2009-03-05,8.9,0.0,10.0,34.3,17.0,67,12,5.03,27.37
64,PERTH AIRPORT,2009-03-06,9.0,0.0,8.0,34.5,15.2,73,12,5.11,27.69
65,PERTH AIRPORT,2009-03-07,9.4,0.0,11.6,31.6,17.1,64,21,7.72,27.28
66,PERTH AIRPORT,2009-03-08,9.3,0.0,8.0,35.0,17.2,61,15,5.6,26.30
67,PERTH AIRPORT,2009-03-09,8.2,0.0,10.0,35.3,15.0,66,12,3.92,26.75
68,PERTH AIRPORT,2009-03-10,8.7,0.0,9.0,38.3,14.9,68,10,3.87,26.55
69,PERTH AIRPORT,2009-03-11,6.5,0.0,8.8,30.8,12.7,74,26,4.45,20.84
70,PERTH AIRPORT,2009-03-12,4.9,0.0,5.4,27.1,18.6,82,46,4.47,18.36
71,PERTH AIRPORT,2009-03-13,6.8,0.0,7.0,28.3,14.2,70,27,5.17,25.55
72,PERTH AIRPORT,2009-03-14,8.6,0.0,8.2,31.1,13.9,57,19,6.61,24.74
73,PERTH AIRPORT,2009-03-15,11.5,0.0,12.2,39.7,16.5,54,12,6.98,21.68
74,PERTH AIRPORT,2009-03-16,6.4,0.0,5.4,32.2,15.9,81,29,3.76,25.02
75,PERTH AIRPORT,2009-03-17,4.0,0.0,7.4,25.6,16.2,94,52,4.8,15.81
76,PERTH AIRPORT,2009-03-18,4.9,0.6,4.0,24.2,12.6,96,37,4.68,23.16
77,PERTH AIRPORT,2009-03-19,4.9,0.0,6.2,25.9,8.5,91,33,3.45,24.40
78,PERTH AIRPORT,2009-03-20, ,0.0,8.4,24.8,11.8,92,40,4.56, 
79,PERTH AIRPORT,2009-03-21, ,2.0,3.2,24.0,10.9,97,34,3.3, 
80,PERTH AIRPORT,2009-03-22, ,0.0,6.2,24.1,6.4,97,37,2.97, 
81,PERTH AIRPORT,2009-03-23,3.6,0.0,4.4,24.2,11.9,95,57,3.51,19.15
82,PERTH AIRPORT,2009-03-24,4.3,1.8,2.8,25.0,12.0,97,39,3.29,21.88
83,PERTH AIRPORT,2009-03-25,4.5,0.0,4.8,26.0,12.4,97,41,3.51,23.06
84,PERTH AIRPORT,2009-03-26,7.5,0.0,7.2,32.5,14.6,90,26,6.25,23.35
85,PERTH AIRPORT,2009-03-27, ,0.0,6.8,37.5,14.2,91,14,3.43, 
86,PERTH AIRPORT,2009-03-28, ,0.0,6.0,29.4,16.0,90,33,6.53, 
87,PERTH AIRPORT,2009-03-29, ,0.0,7.6,26.0,17.2,70,34,6.8, 
88,PERTH AIRPORT,2009-03-30,5.0,0.0,6.2,26.1,17.4,77,45,5.53,19.34
89,PERTH AIRPORT,2009-03-31,5.1,0.0,5.0,25.8,13.0,96,31,5.33,19.23
90,PERTH AIRPORT,2009-04-01,5.3,0.0,4.0,24.4,11.4,80,26,4.96,22.06
91,PERTH AIRPORT,2009-04-02,5.5,0.0,5.8,26.2,9.4,80,25,4.4,22.6
92,PERTH AIRPORT,2009-04-03,6.8,0.0,5.6,28.1,13.8,71,23,6.51,20.5
93,PERTH AIRPORT,2009-04-04,7.4,0.0,6.4,29.2,14.6,60,19,5.99,22.3
94,PERTH AIRPORT,2009-04-05,7.0,0.0,7.0,27.9,13.9,72,22,6.55,22.2
95,PERTH AIRPORT,2009-04-06,7.6,0.0,8.4,29.2,14.7,64,17,6.36,22.32
96,PERTH AIRPORT,2009-04-07,7.1,0.0,7.4,31.6,17.2,52,16,4.54,22.04
97,PERTH AIRPORT,2009-04-08,7.3,0.0,7.4,33.6,17.4,55,11,4.44,20.64
98,PERTH AIRPORT,2009-04-09,6.8,0.0,7.2,34.0,14.6,51,11,3.71,20.96
99,PERTH AIRPORT,2009-04-10,9.1,0.0,7.8,35.5,17.2,65,9,6.15,20.87
100,PERTH AIRPORT,2009-04-11,4.8,0.0,5.6,31.1,14.1,95,26,3.0,19.48
101,PERTH AIRPORT,2009-04-12,10.4,0.0,6.8,34.2,15.6,87,4,8.98,20.46
102,PERTH AIRPORT,2009-04-13,4.3,0.0,12.2,24.6,20.8,94,37,7.73,7.2
103,PERTH AIRPORT,2009-04-14,4.7,6.2,3.8,28.2,15.3,89,36,4.21,18.67
104,PERTH AIRPORT,2009-04-15,5.2,0.0,4.8,26.9,14.3,66,28,4.4,18.93
105,PERTH AIRPORT,2009-04-16,5.0,0.0,6.0,28.6,13.8,78,34,4.11,19.3
106,PERTH AIRPORT,2009-04-17,4.7,0.0,4.6,29.9,13.6,88,34,3.77,17.62
107,PERTH AIRPORT,2009-04-18,3.8,0.0,5.2,25.6,16.2,77,38,4.01,10.67
108,PERTH AIRPORT,2009-04-19,4.6,0.6,2.4,30.0,17.0,94,35,3.63,19.02
109,PERTH AIRPORT,2009-04-20,3.7,0.0,4.6,27.9,13.3,99,43,2.77,19.01
110,PERTH AIRPORT,2009-04-21,5.0,0.0,4.0,30.6,13.9,96,32,4.06,18.79
111,PERTH AIRPORT,2009-04-22,4.1,0.0,5.0,22.1,12.1,97,32,6.28,14.12
112,PERTH AIRPORT,2009-04-23,3.3,0.0,4.2,21.5,3.7,90,37,3.63,15.83
113,PERTH AIRPORT,2009-04-24,2.9,0.0,4.4,23.2,9.2,96,52,3.37,14.52
114,PERTH AIRPORT,2009-04-25,2.8,0.0,2.8,23.1,11.8,97,49,3.04,14.48
115,PERTH AIRPORT,2009-04-26,3.3,0.0,3.2,26.3,7.5,99,37,2.5,17.78
116,PERTH AIRPORT,2009-04-27,4.5,0.0,3.2,28.9,11.9,92,24,3.39,17.89
117,PERTH AIRPORT,2009-04-28,4.7,0.0,5.0,28.5,11.4,92,31,4.16,18.25
118,PERTH AIRPORT,2009-04-29,4.7,0.0,6.2,26.5,16.4,89,26,5.19,14.45
119,PERTH AIRPORT,2009-04-30,3.8,0.0,4.2,24.5,9.3,93,35,3.9,17.73
120,PERTH AIRPORT,2009-05-01,5.5,0.0,4.6,25.2,10.8,69,28,6.52,17.85
121,PERTH AIRPORT,2009-05-02,5.2,0.0,6.2,28.5,13.1,79,23,4.53,17.78
122,PERTH AIRPORT,2009-05-03,4.2,0.0,4.2,27.4,10.0,83,19,3.27,16.25
123,PERTH AIRPORT,2009-05-04,4.8,0.0,4.4,28.0,11.4,60,16,3.4,17.49
124,PERTH AIRPORT,2009-05-05,5.3,0.0,4.0,27.9,9.9,63,17,4.19,17.35
125,PERTH AIRPORT,2009-05-06,5.8,0.0,6.8,27.3,11.9,51,20,5.1,17.29
126,PERTH AIRPORT,2009-05-07,4.7,0.0,3.4,26.0,12.7,63,22,3.96,17.01
127,PERTH AIRPORT,2009-05-08,4.3,0.0,4.2,25.5,10.0,71,22,3.77,16.74
128,PERTH AIRPORT,2009-05-09,4.4,0.0,4.8,25.8,12.3,70,21,3.79,16.65
129,PERTH AIRPORT,2009-05-10,3.0,0.0,3.6,23.6,9.3,79,25,2.49,11.68
130,PERTH AIRPORT,2009-05-11,4.0,0.0,2.2,26.4,11.9,80,22,3.32,16.21
131,PERTH AIRPORT,2009-05-12,5.5,0.0,5.4,24.6,14.2,72,29,7.41,16.25
132,PERTH AIRPORT,2009-05-13,4.1,0.0,4.8,24.9,12.2,92,27,4.58,15.64
133,PERTH AIRPORT,2009-05-14,3.9,0.0,4.4,24.6,9.4,84,25,3.73,16.1
134,PERTH AIRPORT,2009-05-15,3.8,0.0,3.0,25.6,8.4,76,21,3.0,16.07
135,PERTH AIRPORT,2009-05-16,3.7,0.0,3.4,25.5,7.0,77,21,3.04,15.89
136,PERTH AIRPORT,2009-05-17,4.6,0.0,4.4,26.5,8.3,70,18,3.94,15.58
137,PERTH AIRPORT,2009-05-18,2.7,0.0,4.2,23.2,6.0,92,44,2.89,15.23
138,PERTH AIRPORT,2009-05-19,2.6,0.0,2.6,24.4,9.2,97,51,3.13,13.59
139,PERTH AIRPORT,2009-05-20,3.8,0.0,2.4,27.2,12.6,96,30,4.1,13.41
140,PERTH AIRPORT,2009-05-21,3.2,10.8,3.2,23.2,14.8,96,53,7.93,8.75
141,PERTH AIRPORT,2009-05-22,3.1,17.2,3.4,17.2,9.8,84,47,8.0,10.87
142,PERTH AIRPORT,2009-05-23,2.3,21.2,4.0,16.6,11.0,97,46,4.88,11.65
143,PERTH AIRPORT,2009-05-24,2.0,0.0,2.0,19.2,3.1,99,44,2.23,14.71
144,PERTH AIRPORT,2009-05-25,2.7,0.0,1.8,19.0,6.2,88,37,4.05,13.83
145,PERTH AIRPORT,2009-05-26,4.5,0.0,2.2,22.3,9.6,73,27,6.35,14.6
146,PERTH AIRPORT,2009-05-27,4.6,0.0,4.4,22.1,12.5,55,32,6.26,12.82
147,PERTH AIRPORT,2009-05-28,4.7,0.0,5.2,23.2,13.0,61,30,6.27,14.16
148,PERTH AIRPORT,2009-05-29,4.7,0.0,4.6,23.8,12.4,62,30,5.99,14.16
149,PERTH AIRPORT,2009-05-30,3.9,0.0,4.4,25.2,13.7,79,37,5.11,12.93
150,PERTH AIRPORT,2009-05-31,2.7,0.4,2.4,24.3,13.6,79,42,2.98,12.24
151,PERTH AIRPORT,2009-06-01,3.1,0.0,2.2,25.3,13.9,97,37,3.89,13.12
152,PERTH AIRPORT,2009-06-02,2.3,3.4,2.0,22.9,12.2,99,52,3.52,11.47
153,PERTH AIRPORT,2009-06-03,1.9,0.6,1.6,20.3,9.4,99,60,3.7,11.86
154,PERTH AIRPORT,2009-06-04,2.1,2.2,1.8,18.2,7.3,92,50,3.98,10.87
155,PERTH AIRPORT,2009-06-05,1.9,0.0,2.8,19.9,4.7,99,51,2.77,12.38
156,PERTH AIRPORT,2009-06-06,2.0,0.0,1.6,20.3,7.2,99,43,2.5,12.75
157,PERTH AIRPORT,2009-06-07,1.8,0.0,1.8,17.7,4.2,99,46,2.55,13.47
158,PERTH AIRPORT,2009-06-08,2.3,0.0,2.2,21.0,6.5,91,40,2.83,13.62
159,PERTH AIRPORT,2009-06-09,3.6,0.0,1.8,23.3,8.5,86,22,4.25,13.19
160,PERTH AIRPORT,2009-06-10,2.7,0.2,2.0,22.2,12.3,94,48,4.6,12.26
161,PERTH AIRPORT,2009-06-11,1.2,20.2,4.8,16.8,12.2,98,76,3.08,6.95
162,PERTH AIRPORT,2009-06-12,1.5,7.2,2.2,16.6,4.2,99,53,2.2,12.18
163,PERTH AIRPORT,2009-06-13,1.6,0.0,1.4,17.6,4.8,97,48,2.31,12.41
164,PERTH AIRPORT,2009-06-14,2.0,0.0,1.4,20.2,3.3,98,47,2.58,13.29
165,PERTH AIRPORT,2009-06-15,2.3,0.0,1.2,21.4,7.4,97,39,2.86,13.07
166,PERTH AIRPORT,2009-06-16,2.6,0.0,2.0,21.1,4.7,98,30,3.13,13.43
167,PERTH AIRPORT,2009-06-17,3.5,0.0,1.4,21.4,5.7,85,25,4.6,13.42
168,PERTH AIRPORT,2009-06-18,1.8,0.0,3.2,20.1,10.2,97,64,4.09,8.72
169,PERTH AIRPORT,2009-06-19,2.6,11.0,1.0,17.0,13.2,97,43,6.99,8.57
170,PERTH AIRPORT,2009-06-20,2.3,7.6,3.4,18.6,10.5,96,54,5.82,11.49
171,PERTH AIRPORT,2009-06-21,2.0,19.6,5.4,15.6,10.5,94,46,4.38,11.88
172,PERTH AIRPORT,2009-06-22,1.9,0.2,1.2,16.6,4.0,95,46,3.64,11.83
173,PERTH AIRPORT,2009-06-23,1.8,0.8,2.4,14.8,9.2,98,52,5.15,5.31
174,PERTH AIRPORT,2009-06-24,1.3,7.6,1.2,17.6,8.9,97,77,4.7,8.02
175,PERTH AIRPORT,2009-06-25,2.2,14.2,0.4,20.1,12.1,96,56,4.9,11.93
176,PERTH AIRPORT,2009-06-26,1.3,0.8,1.2,16.5,9.5,97,72,4.75,5.69
177,PERTH AIRPORT,2009-06-27,3.1,6.0,2.4,18.3,13.0,87,48,8.16,10.85
178,PERTH AIRPORT,2009-06-28,2.7,6.2,1.6,19.3,13.1,91,53,7.45,10.52
179,PERTH AIRPORT,2009-06-29,3.0,14.8,7.2,16.2,13.7,84,51,9.78,8.28
180,PERTH AIRPORT,2009-06-30,1.9,8.8,2.8,15.1,9.1,96,55,5.41,11.15
181,PERTH AIRPORT,2009-07-01,1.8,5.2,1.2,17.7,8.9,99,52,3.34,12.61
182,PERTH AIRPORT,2009-07-02,1.7,0.2,2.6,17.6,2.3,99,47,2.37,13.26
183,PERTH AIRPORT,2009-07-03,2.1,0.0,2.8,17.8,5.3,95,50,4.3,11.38
184,PERTH AIRPORT,2009-07-04,1.8,0.0,1.0,18.4,10.1,95,52,2.78,10.52
185,PERTH AIRPORT,2009-07-05,2.5,0.0,1.0,21.1,8.5,88,45,3.59,13.20
186,PERTH AIRPORT,2009-07-06, ,4.4,2.6,19.3,12.1,97,58,5.33, 
187,PERTH AIRPORT,2009-07-07, ,4.0,1.8,17.7,7.9,97,55,3.06, 
188,PERTH AIRPORT,2009-07-08, ,0.6,0.8,19.1,10.9,97,42,4.12, 
189,PERTH AIRPORT,2009-07-09,2.2,13.4,2.6,19.0,11.8,97,50,4.58,10.70
190,PERTH AIRPORT,2009-07-10,2.1,19.0,1.6,17.8,10.8,98,51,4.74,11.02
191,PERTH AIRPORT,2009-07-11,1.8,5.0,1.8,17.7,7.2,97,44,2.33,13.12
192,PERTH AIRPORT,2009-07-12,1.9,0.0,1.8,16.9,3.9,99,40,2.67,13.64
193,PERTH AIRPORT,2009-07-13,1.9,0.0,1.6,17.3,2.0,99,47,2.95,13.74
194,PERTH AIRPORT,2009-07-14,2.2,0.0,2.2,17.4,3.3,97,47,3.83,13.99
195,PERTH AIRPORT,2009-07-15,3.9,0.0,2.2,21.2,7.1,97,25,6.27,13.81
196,PERTH AIRPORT,2009-07-16,2.3,8.2,3.8,17.3,12.3,98,51,6.22,10.06
197,PERTH AIRPORT,2009-07-17,2.7,10.2,2.6,18.4,12.9,87,48,5.55,11.15
198,PERTH AIRPORT,2009-07-18,2.6,0.8,2.4,19.4,11.4,97,48,5.81,10.59
199,PERTH AIRPORT,2009-07-19,2.0,26.8,3.6,16.6,10.8,97,56,4.74,10.36
200,PERTH AIRPORT,2009-07-20,2.4,25.0,2.8,14.6,8.3,93,49,7.8,10.19
201,PERTH AIRPORT,2009-07-21,2.1,10.2,1.8,15.7,8.5,97,55,5.63,12.56
202,PERTH AIRPORT,2009-07-22,1.7,1.8,1.6,17.2,6.7,99,65,4.3,10.71
203,PERTH AIRPORT,2009-07-23,1.9,8.8,1.8,16.9,11.0,100,54,3.69,12.37
204,PERTH AIRPORT,2009-07-24,2.2,0.0,1.6,16.3,3.9,97,38,3.13,14.62
205,PERTH AIRPORT,2009-07-25,2.4,1.8,4.2,15.6,5.2,95,38,4.28,14.16
206,PERTH AIRPORT,2009-07-26,1.9,0.0,1.2,15.7,2.0,99,42,2.71,12.50
207,PERTH AIRPORT,2009-07-27,1.6,0.0,1.2,16.0,4.5,97,55,2.41,11.65
208,PERTH AIRPORT,2009-07-28,1.9,0.0,1.2,17.8,3.6,100,47,2.32,14.47
