Date,Operational Demand (MW),Transpiration,Rain,Evaporation,Max Temp,Min Temp,Max Hum,Min Hum,Av Wind,Solar Rad,state_holiday,sin_month,cos_month,sin_Day_of_week,cos_Day_of_week,sin_Day_of_month,cos_Day_of_month,sin_Day_of_year,cos_Day_of_year,sin_week_of_year,cos_week_of_year
1/01/2009,95141.184,11.2,0,11.6,37.2,18.8,65,20,6.1,34.01,1,0.5,0.866025404,0.433883739,-0.900968868,0.207911691,0.978147601,0.017213356,0.999851839,0.12053668,0.992708874
2/01/2009,108058.504,10.2,0,12.8,36.1,21.9,70,25,5.31,34.25,0,0.5,0.866025404,-0.433883739,-0.900968868,0.406736643,0.913545458,0.034421612,0.999407401,0.12053668,0.992708874
3/01/2009,95788.86,9.4,0,11.8,34.4,20.3,79,29,5.45,34.11,0,0.5,0.866025404,-0.974927912,-0.222520934,0.587785252,0.809016994,0.051619667,0.998666816,0.12053668,0.992708874
4/01/2009,93777.404,10.5,0,11.2,36.5,18.5,62,20,5.25,34.05,0,0.5,0.866025404,-0.781831482,0.623489802,0.743144825,0.669130606,0.068802427,0.997630305,0.12053668,0.992708874
5/01/2009,112678.424,11.9,0,11.4,37.2,21.8,63,17,6.77,34.18,0,0.5,0.866025404,0,1,0.866025404,0.5,0.085964799,0.996298175,0.239315664,0.970941817
6/01/2009,111824.976,10.1,0,12,36.4,19.7,73,26,5.42,33.82,0,0.5,0.866025404,0.781831482,0.623489802,0.951056516,0.309016994,0.103101697,0.99467082,0.239315664,0.970941817
7/01/2009,110104.118,10.7,0,12,36.3,18.9,63,21,5.83,33.85,0,0.5,0.866025404,0.974927912,-0.222520934,0.994521895,0.104528463,0.120208045,0.992748722,0.239315664,0.970941817
8/01/2009,114229.828,10.5,0,10.8,37.2,20.3,60,24,5.19,33.96,0,0.5,0.866025404,0.433883739,-0.900968868,0.994521895,-0.104528463,0.137278772,0.990532452,0.239315664,0.970941817
9/01/2009,113488.238,10.3,0,12.6,37.1,19.1,67,27,5.28,34.4,0,0.5,0.866025404,-0.433883739,-0.900968868,0.951056516,-0.309016994,0.154308821,0.988022666,0.239315664,0.970941817
10/01/2009,103767.418,10.5,0,11.2,35.7,20.5,58,20,5.23,34.29,0,0.5,0.866025404,-0.974927912,-0.222520934,0.866025404,-0.5,0.171293144,0.985220107,0.239315664,0.970941817
11/01/2009,103885.72,11.3,0,12,39.1,21.2,60,12,4.84,34.25,0,0.5,0.866025404,-0.781831482,0.623489802,0.743144825,-0.669130606,0.18822671,0.982125606,0.239315664,0.970941817
12/01/2009,100542.602,6.8,0,11.4,28.4,13.5,91,43,6.58,29.12,0,0.5,0.866025404,0,1,0.587785252,-0.809016994,0.2051045,0.97874008,0.354604887,0.935016243
13/01/2009,92333.888,7,0,9.4,26.9,10.3,93,27,4.88,32.17,0,0.5,0.866025404,0.781831482,0.623489802,0.406736643,-0.913545458,0.221921513,0.975064532,0.354604887,0.935016243
14/01/2009,95147.1,8.7,0,9.6,31.7,14.6,71,23,5.34,31.29,0,0.5,0.866025404,0.974927912,-0.222520934,0.207911691,-0.978147601,0.238672766,0.971100052,0.354604887,0.935016243
15/01/2009,113699.454,13.6,0,10.6,39.8,19,56,13,7.64,33.39,0,0.5,0.866025404,0.433883739,-0.900968868,5.67E-16,-1,0.255353295,0.966847814,0.354604887,0.935016243
16/01/2009,126200.296,13.4,0,13.8,43,22.5,80,9,6.51,33.38,0,0.5,0.866025404,-0.433883739,-0.900968868,-0.207911691,-0.978147601,0.271958158,0.962309077,0.354604887,0.935016243
17/01/2009,97772.34,7.5,0,13.2,32.6,17.9,82,31,4.93,24.91,0,0.5,0.866025404,-0.974927912,-0.222520934,-0.406736643,-0.913545458,0.288482433,0.957485188,0.354604887,0.935016243
18/01/2009,88782.604,7.8,0,8.6,33.5,21.9,55,28,5.1,18.75,0,0.5,0.866025404,-0.781831482,0.623489802,-0.587785252,-0.809016994,0.304921225,0.952377576,0.354604887,0.935016243
19/01/2009,96426.502,8,12.6,8,30,15.7,90,34,6.83,31.88,0,0.5,0.866025404,0,1,-0.743144825,-0.669130606,0.321269662,0.946987753,0.464723172,0.885456026
20/01/2009,95562.286,8.7,0,8,30.1,15.5,76,24,5.76,33.27,0,0.5,0.866025404,0.781831482,0.623489802,-0.866025404,-0.5,0.3375229,0.941317318,0.464723172,0.885456026
